,DriverNumber,BroadcastName,TeamName,Round_Number,Country,Location,Year,Event_Type,Sprint_Qual_Position,Sprint_Race_Position,Qual_Position,Sector1Time,Sector2Time,Sector3Time,SpeedST,Stint,Race_Position
0,1,M VERSTAPPEN,Red Bull Racing,1,Bahrain,Sakhir,2022,Race,,,2.0,33.72094339622642,44.04233333333333,25.901444444444447,278.8958333333333,4.0,19.0
1,10,P GASLY,AlphaTauri,1,Bahrain,Sakhir,2022,Race,,,10.0,32.808465116279066,43.31586363636364,24.59665909090909,291.6875,3.0,20.0
2,11,S PEREZ,Red Bull Racing,1,Bahrain,Sakhir,2022,Race,,,4.0,33.35987272727272,44.062892857142856,25.503964285714286,282.7169811320755,4.0,18.0
3,14,F ALONSO,Alpine,1,Bahrain,Sakhir,2022,Race,,,8.0,33.59135714285714,44.109824561403514,25.341859649122807,284.63829787234044,4.0,9.0
4,16,C LECLERC,Ferrari,1,Bahrain,Sakhir,2022,Race,,,1.0,33.48401785714286,43.87371929824562,25.34580701754386,277.4782608695652,4.0,1.0
5,18,L STROLL,Aston Martin,1,Bahrain,Sakhir,2022,Race,,,19.0,33.680732142857146,44.39885964912281,25.342824561403507,278.5925925925926,4.0,12.0
6,20,K MAGNUSSEN,Haas F1 Team,1,Bahrain,Sakhir,2022,Race,,,7.0,33.276446428571425,44.217982456140355,25.43517543859649,287.77777777777777,4.0,5.0
7,22,Y TSUNODA,AlphaTauri,1,Bahrain,Sakhir,2022,Race,,,16.0,33.4325,44.152631578947364,25.398245614035087,290.64150943396226,4.0,8.0
8,23,A ALBON,Williams,1,Bahrain,Sakhir,2022,Race,,,14.0,33.60964285714286,44.659894736842105,25.31580701754386,290.6595744680851,4.0,13.0
9,24,G ZHOU,Alfa Romeo,1,Bahrain,Sakhir,2022,Race,,,15.0,33.39460714285714,44.24647368421053,25.358894736842103,289.5769230769231,4.0,10.0
10,27,N HULKENBERG,Aston Martin,1,Bahrain,Sakhir,2022,Race,,,17.0,33.73764285714286,44.33194736842105,25.67582456140351,283.75471698113205,4.0,17.0
11,3,D RICCIARDO,McLaren,1,Bahrain,Sakhir,2022,Race,,,18.0,33.71771428571429,44.36629824561403,25.503877192982458,283.72549019607845,4.0,14.0
12,31,E OCON,Alpine,1,Bahrain,Sakhir,2022,Race,,,11.0,33.48501785714286,44.08714035087719,25.412561403508775,288.25531914893617,4.0,7.0
13,4,L NORRIS,McLaren,1,Bahrain,Sakhir,2022,Race,,,13.0,33.75444642857143,44.262578947368425,25.604701754385967,290.9818181818182,4.0,15.0
